SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Thu Oct 10 11:27:14 EDT 2019
User: surp
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB2+H05261
Integration Time (usec): 100000 (USB2+H05261)
Spectra Averaged: 1 (USB2+H05261)
Boxcar Smoothing: 0 (USB2+H05261)
Correct for Electrical Dark: No (USB2+H05261)
Strobe/Lamp Enabled: No (USB2+H05261)
Correct for Detector Non-linearity: No (USB2+H05261)
Correct for Stray Light: No (USB2+H05261)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
0.00	997.07
1.00	997.07
2.00	997.07
3.00	1001.75
4.00	933.87
5.00	919.83
6.00	931.53
7.00	877.70
8.00	917.49
9.00	952.60
10.00	910.47
11.00	863.66
12.00	868.34
13.00	933.87
14.00	882.38
15.00	978.34
16.00	947.92
17.00	905.79
18.00	896.43
19.00	901.11
20.00	945.58
21.00	1004.09
22.00	945.58
23.00	943.24
24.00	1015.79
25.00	943.24
26.00	1001.75
27.00	1018.13
28.00	1015.79
29.00	980.68
30.00	1074.31
31.00	1027.50
32.00	959.62
33.00	1060.26
34.00	1032.18
35.00	1069.62
36.00	1064.94
37.00	1060.26
38.00	1093.03
39.00	1057.92
40.00	1071.97
41.00	1181.97
42.00	1067.28
43.00	1050.90
44.00	1081.33
45.00	1088.35
46.00	1104.73
47.00	1064.94
48.00	1043.88
49.00	1076.65
50.00	1081.33
51.00	1050.90
52.00	1067.28
53.00	1055.58
54.00	1022.81
55.00	1018.13
56.00	1046.22
57.00	1008.77
58.00	1100.05
59.00	1048.56
60.00	1006.43
61.00	1130.48
62.00	1102.39
63.00	1086.01
64.00	1078.99
65.00	1053.24
66.00	1146.86
67.00	1132.82
68.00	1107.07
69.00	1097.71
70.00	1039.20
71.00	1083.67
72.00	1153.88
73.00	1062.60
74.00	1008.77
75.00	1090.69
76.00	999.41
77.00	1020.47
78.00	1067.28
79.00	1104.73
80.00	1046.22
81.00	1034.52
82.00	943.24
83.00	1086.01
84.00	1050.90
85.00	999.41
86.00	1060.26
87.00	1088.35
88.00	1125.80
89.00	1088.35
90.00	1081.33
91.00	1060.26
92.00	1050.90
93.00	1018.13
94.00	1090.69
95.00	1067.28
96.00	1029.84
97.00	1093.03
98.00	1102.39
99.00	1062.60
100.00	1015.79
101.00	1048.56
102.00	1015.79
103.00	1097.71
104.00	1039.20
105.00	1097.71
106.00	1093.03
107.00	1055.58
108.00	1100.05
109.00	1121.12
110.00	1086.01
111.00	1053.24
112.00	1001.75
113.00	1004.09
114.00	1041.54
115.00	1071.97
116.00	1064.94
117.00	1088.35
118.00	1095.37
119.00	1041.54
120.00	1015.79
121.00	1104.73
122.00	1100.05
123.00	1039.20
